Сессия 1.
Основные таблицы
1. Patient (Пациенты)
Id;Surname;Name;Patronymic;Birthday;PassportSeries;PassportNumber;Gender;Address;Phone;Email;MedcardId;PolicyNumber;PolicyExpirationDate;InsuranceCompany;WorkPlace;Photo
16;Solis;Karina;Armand;23.07.1976;8999;866448;F;P.O. Box 585, 5990 Lectus, St.;1-662-201-6049;pulvinar@outlook.edu;1016;2238990947184920;19.05.2024;Tincidunt Orci Quis Industries;Magna Et LLP;16.jpg
17;Casey;Hanna;Harper;17.11.1955;9816;497764;F;Ap #778-4390 Ipsum. St.;1-425-337-5877;magna.praesent@hotmail.couk;1017;8684026042094160;29.01.2024;Ornare Egestas Ltd;Pellentesque Sed Inc.;17.jpg
18;Weber;Keelie;Dara;22.07.1981;5265;833678;F;Ap #510-6038 Justo Street;1-469-552-7388;ipsum@google.couk;1018;1188493505623950;05.03.2023;Gravida Sit Amet LLP;Neque Nullam Industries;18.jpg
19;Thomas;Yael;Judith;21.01.1987;9935;301830;F;411-1445 Velit Road;1-576-466-1773;ac.mattis@outlook.com;1019;3391579360536390;18.09.2023;Et Lacinia LLP;Suspendisse Corporation;19.jpg
20;Chan;Basia;Rosalyn;03.03.1987;6542;570973;F;P.O. Box 789, 271 Proin Av.;1-821-860-6337;vel.mauris@outlook.com;1020;4482539577608390;12.12.2023;Auctor Odio Incorporated;Ligula Consectetuer Rhoncus Limited;20.jpg
21;Livingston;Ingrid;Darryl;10.06.1991;5976;900875;F;474-8385 Odio Avenue;1-648-841-4815;eleifend.nec.malesuada@hotmail.edu;1021;2087892711427880;13.01.2024;Per Inceptos Company;Eleifend Non Ltd;21.jpg
22;Branch;Noelle;Alexa;13.10.1991;5933;272569;F;Ap #769-3998 Libero. St.;1-677-585-3588;et@yahoo.net;1022;1706593288474060;17.11.2023;Imperdiet Non Foundation;Mi Tempor Foundation;22.jpg
23;Harper;Aiko;Austin;03.05.1999;2760;260707;F;930-8334 Congue. Street;1-276-340-0947;ante.iaculis@hotmail.net;1023;4377512571288180;15.03.2023;Parturient Montes Industries;Ultrices Iaculis Corp.;23.jpg
24;Burns;Lara;Raphael;01.02.1964;7591;100577;F;P.O. Box 375, 7265 Est Rd.;1-111-784-8725;scelerisque.neque@icloud.com;1024;8495222186992690;19.02.2023;Sed Eget Industries;Ornare Libero At Limited;24.jpg
25;Snider;Ocean;Joan;03.01.2002;5733;862483;F;Ap #521-8948 Nunc Av.;1-615-460-2248;ullamcorper.magna@icloud.net;1025;3494279655000580;23.06.2024;Enim Sed Foundation;Ultrices Sit Limited;25.jpg
26;Ortiz;Sydnee;Macey;25.03.2004;5535;638345;F;Ap #582-4209 Metus Rd.;1-483-495-9765;non.leo.vivamus@aol.net;1026;1751076156590440;22.05.2023;Odio Sagittis Industries;Nulla Facilisi Sed Industries;26.jpg
27;Lynn;Aretha;Alexis;02.04.1998;1390;302241;F;958-1738 Libero St.;1-476-818-1352;pharetra.felis@google.edu;1027;2652908391352560;23.05.2024;Semper Dui Lectus Associates;Libero Nec Ligula PC;27.jpg
28;Hutchinson;Petra;Xyla;10.07.2015;8403;494457;F;4186 Auctor Rd.;1-675-703-0657;feugiat.tellus.lorem@icloud.org;1028;6424581699833010;09.05.2024;Eu Eros Nam PC;Commodo Ipsum Suspendisse PC;28.jpg
29;Todd;Georgia;Amity;15.12.2016;6402;538308;F;773-6013 Sollicitudin Avenue;1-647-686-5164;nunc.laoreet@protonmail.net;1029;7010159825180900;13.02.2023;Velit Cras Limited;Risus Donec LLP;29.jpg
30;Roberts;Pamela;Anastasia;06.05.1983;9348;398635;F;Ap #114-3887 Natoque St.;1-757-180-9635;mollis@yahoo.edu;1030;1488684281202920;20.06.2024;Phasellus Elit Pede Foundation;Pede Cras Corp.;30.jpg
31;Rivers;Astra;Demetria;24.03.1964;3394;804427;F;3543 Urna. Av.;1-189-582-1227;egestas.urna@outlook.ca;1031;2771077059084940;26.11.2023;Elit Sed Institute;Scelerisque Industries;31.jpg
32;Baird;Ivory;Declan;11.04.2015;6820;920471;F;944-217 In, Street;1-314-442-1587;et@hotmail.org;1032;9158898108784340;23.02.2023;Ac Turpis Egestas Corporation;Semper Nam Tempor LLC;32.jpg
33;Mullins;Briar;Charde;06.01.1968;7748;486616;F;Ap #916-5366 Purus. St.;1-384-371-8842;lobortis.quam.a@protonmail.couk;1033;5519502346664090;15.03.2023;Malesuada Fames Company;In Faucibus Inc.;33.jpg
34;Franks;Anne;Ulysses;30.09.1954;9489;950259;F;P.O. Box 722, 3222 Rutrum. Rd.;1-753-357-7593;risus.nunc@aol.org;1034;2591915703505750;25.11.2024;Sagittis LLC;Pretium Neque Morbi Industries;34.jpg
35;Blackwell;Brielle;Brendan;02.06.1985;6444;946577;F;P.O. Box 217, 8221 Dignissim St.;1-592-832-3413;tortor@icloud.edu;1035;3905662813147350;13.09.2024;Sociis Natoque Corp.;Urna Nec LLC;35.jpg
36;Gonzalez;Imelda;Priscilla;08.01.1994;3058;592145;F;588-5928 Nulla Street;1-608-321-1765;elit.sed.consequat@yahoo.couk;1036;5511271663490360;27.08.2023;Nulla Vulputate Incorporated;Viverra Corporation;36.jpg
37;Rosario;Noel;Charles;03.02.1998;9572;579310;F;Ap #302-9555 Vitae Rd.;1-578-446-1729;rhoncus.nullam.velit@aol.couk;1037;9713955243718340;02.12.2024;Urna Associates;Vitae Diam Incorporated;37.jpg
38;Carson;Chloe;Shellie;31.07.1983;7728;697343;F;824-2419 Luctus Avenue;1-492-205-4538;a.dui@hotmail.net;1038;2178520209958980;07.04.2024;Ac Foundation;Sed Ltd;38.jpg
39;Robinson;Natalie;Brenden;16.02.2015;2037;527023;F;P.O. Box 271, 7871 Rhoncus. St.;1-811-785-8106;dolor.fusce@yahoo.com;1039;7968263958341460;12.11.2024;Nisl Elementum Institute;Ullamcorper Duis Incorporated;39.jpg
40;Forbes;Clementine;Malcolm;22.12.2016;6245;811763;F;976-7889 Cras Rd.;1-357-237-1931;sapien.molestie@yahoo.org;1040;3713423393326950;30.05.2024;In LLP;Aenean Massa Ltd;40.jpg
41;Santana;Hedy;Demetrius;07.10.2008;2707;394751;F;543-9088 Ac Rd.;1-512-697-3374;tempus@outlook.couk;1041;157060586866819;22.01.2025;Mi Eleifend Associates;Auctor Ltd;41.jpg
42;Bridges;Zelenia;James;29.11.1994;2627;733211;F;Ap #613-6682 Eget, Avenue;1-223-648-0452;aenean.eget.metus@outlook.edu;1042;1169577470671910;08.12.2023;Nullam Incorporated;Feugiat Non Institute;42.jpg
43;Logan;Amy;Todd;08.04.1955;9778;263689;F;Ap #774-3011 Ut, Rd.;1-345-522-7116;aliquet.vel.vulputate@outlook.edu;1043;9349161122378080;21.11.2023;Pellentesque Eget Dictum Institute;Dapibus Quam Corp.;43.jpg
44;Thompson;Katell;Audra;15.01.2005;5421;912252;F;420-9789 Egestas St.;1-925-628-2108;mi.fringilla@outlook.org;1044;1251270177678650;25.07.2024;Montes Nascetur Inc.;Semper Foundation;44.jpg
45;Davidson;Cailin;Shelley;08.04.1995;7070;122187;F;328-8082 Odio St.;1-643-687-1176;phasellus.nulla@aol.couk;1045;5315907109071200;25.05.2023;Sed Associates;Sed Dictum Inc.;45.jpg
46;Nichols;Gretchen;Ezra;19.05.2006;5461;818683;F;P.O. Box 373, 8063 Odio. Rd.;1-932-175-9848;et.risus.quisque@yahoo.ca;1046;9114923374865200;01.08.2024;Quisque Libero Incorporated;Mauris Nulla Institute;46.jpg
47;Coffey;Danielle;Jasmine;04.09.2021;9638;546041;F;806-7167 Neque Road;1-197-286-3151;fusce.dolor@outlook.couk;1047;6442968992260730;17.03.2023;Magna Duis Inc.;Convallis Industries;47.jpg
48;Gross;Quintessa;Murphy;31.05.1981;7028;792734;F;P.O. Box 622, 3631 Purus, Street;1-652-463-7044;vitae.posuere@google.edu;1048;4904018712933090;25.03.2023;Consectetuer Euismod LLC;Morbi Limited;48.jpg
49;Shelton;Leslie;Carl;28.06.1956;7329;881353;F;P.O. Box 506, 3955 Tellus St.;1-829-132-3935;posuere@protonmail.ca;1049;9486683728117800;03.05.2023;Integer LLC;Placerat Orci Corp.;49.jpg
50;Parrish;Cassady;Maya;11.09.2006;1148;991951;F;486 Malesuada Road;1-975-776-2382;fusce.dolor.quam@hotmail.ca;1050;7124126618656470;29.07.2023;Ut Dolor Foundation;Metus In Nec Corp.;50.jpg
51;Hurley;Merrill;Curran;26.02.1975;4827;852986;M;8816 Tellus. Rd.;1-546-627-9444;sapien@google.ca;1051;4423871366663350;28.05.2023;Molestie Sodales Institute;Feugiat Placerat Velit LLP;51.jpg
52;Cooley;Logan;Cain;31.10.1996;4892;984422;M;108-2649 A Road;1-444-287-3947;magna.ut@protonmail.ca;1052;9606886345277240;04.02.2023;Aliquam Fringilla Associates;Eu Tellus LLP;52.jpg
53;Burke;Cullen;Maris;11.11.1955;4908;359865;M;584-7576 Et St.;1-221-747-0384;commodo.hendrerit.donec@google.com;1053;7431994904057900;03.01.2025;Mi Ac Mattis Company;Fringilla LLP;53.jpg
54;Hudson;Drew;Wyoming;17.05.2010;6793;604764;M;P.O. Box 537, 1925 Nulla. St.;1-637-706-2643;mauris@hotmail.ca;1054;372513713093622;14.09.2024;Est Arcu LLP;Metus Facilisis Lorem LLP;54.jpg
55;Singleton;Alfonso;Tate;13.09.1990;9849;814533;M;194-7183 Tincidunt Road;1-648-531-8886;posuere.cubilia.curae@icloud.edu;1055;693708225472895;05.03.2023;Tempus Non Lacinia Incorporated;Malesuada Incorporated;55.jpg
56;Sykes;Nolan;Zephr;11.03.2008;3678;451880;M;382-8101 Quisque St.;1-763-719-3268;senectus.et.netus@outlook.com;1056;697762003025652;18.02.2023;Lectus Quis Incorporated;Sapien Imperdiet Ornare Company;56.jpg
57;Evans;Harding;Todd;07.05.2018;2441;925329;M;P.O. Box 491, 1781 Nec Av.;1-188-586-6604;eu.metus@protonmail.org;1057;426772847604391;12.06.2023;Lorem PC;Hendrerit Donec Industries;57.jpg
58;Lloyd;Ezra;Ivan;10.07.1986;9638;386695;M;560-326 Eu, Av.;1-804-233-1187;taciti.sociosqu@google.edu;1058;4347551954650650;13.12.2023;Dolor Elit Corporation;Augue Sed Company;58.jpg
59;Deleon;Erasmus;Timon;29.04.2015;3674;824906;M;692-9992 Sem Avenue;1-486-389-6115;quisque.ornare@hotmail.couk;1059;6444349750961300;09.09.2023;Sed PC;Vestibulum Accumsan Consulting;59.jpg
60;Joyner;Merritt;Colleen;06.11.2006;7045;143349;M;518-1920 Eu, St.;1-613-312-8608;ut.odio@protonmail.net;1060;7855910110213850;08.09.2024;Non Lobortis Quis Institute;Nisl Sem Institute;60.jpg
61;Steele;Russell;Hoyt;09.10.1974;8947;767637;M;983-6778 Cursus St.;1-337-587-4852;lacinia.sed@outlook.edu;1061;9129901356194530;03.04.2024;Gravida Sagittis Limited;Pede Sagittis Foundation;61.jpg
62;Sanchez;Linus;Amery;01.12.1981;5402;234821;M;Ap #748-6219 Dis Ave;1-432-797-6037;tellus.sem@hotmail.com;1062;5602705018848190;26.04.2023;Molestie In Tempus PC;Pellentesque Ultricies Institute;62.jpg
63;Gentry;Elvis;Edan;29.01.2000;3338;785816;M;Ap #141-7224 Metus. Av.;1-222-417-6543;nunc.commodo@protonmail.com;1063;7000780833512480;13.01.2025;Montes Nascetur Ridiculus Corporation;Fermentum Convallis Ligula Consulting;63.jpg
64;Gilliam;Davis;Britanni;27.07.2024;5414;926717;M;P.O. Box 682, 3291 Mauris Av.;1-363-535-6074;velit.egestas@google.couk;1064;3537337956379130;30.04.2023;Facilisis Company;Auctor Ltd;64.jpg
65;Gay;Ezra;Tamara;20.04.2000;6414;174708;M;675-3938 Tincidunt Rd.;1-583-229-0880;nibh.dolor@google.org;1065;485150922435524;03.10.2024;Integer Company;Diam Dictum PC;65.jpg
66;Villarreal;Chester;Cally;17.06.1999;9530;436084;M;504-5594 Sed St.;1-671-514-8459;ac.urna@yahoo.edu;1066;6393036949637580;13.12.2023;Lobortis Quam Limited;Nulla Dignissim Maecenas LLP;66.jpg
67;Harrell;Phelan;Margaret;01.11.1993;8046;930276;M;355-1764 Fusce Street;1-143-637-5531;enim.etiam.imperdiet@yahoo.edu;1067;8396287857072880;25.02.2024;Vel Inc.;Amet Foundation;67.jpg
68;Galloway;Dillon;Nadine;12.07.1972;2813;200109;M;3920 Proin Street;1-486-341-1182;mauris@hotmail.couk;1068;7805828892988770;14.02.2023;Aliquam Incorporated;Cursus Industries;68.jpg
69;Strong;Neil;Calvin;20.06.1972;2385;639765;M;4992 Nec Ave;1-482-926-6167;natoque.penatibus.et@aol.org;1069;4370778949884070;21.01.2024;Sed Eu Nibh Foundation;Fermentum Vel Foundation;69.jpg
70;Mckinney;Caesar;Silas;25.08.1989;4414;399938;M;P.O. Box 371, 1808 At Rd.;1-871-472-5262;at.pretium@google.ca;1070;2340302804283000;14.11.2024;Mauris Ut Consulting;Aliquam Rutrum Foundation;70.jpg
71;Snider;Edan;Jolie;22.06.1972;4480;449163;M;8440 Mattis Road;1-271-534-3662;enim@outlook.com;1071;6667340304365930;25.12.2023;Parturient Montes Corp.;Euismod Enim PC;71.jpg
72;Fields;Lee;Marny;16.06.2021;9079;170199;M;Ap #102-9086 Non Street;1-724-757-4915;pulvinar.arcu@aol.ca;1072;1002398996256730;06.02.2023;Malesuada Fames Incorporated;Urna Vivamus Corp.;72.jpg
73;Snyder;Kennedy;Jaden;10.01.2014;6000;805774;M;7505 Tristique Av.;1-522-556-3181;duis.ac.arcu@hotmail.couk;1073;4469217561331150;14.01.2025;Lacus Incorporated;Lorem Tristique Industries;73.jpg
74;Love;Tarik;Hector;11.04.1995;8144;567352;M;530-7057 Metus Street;1-241-576-4813;turpis.vitae@yahoo.edu;1074;7335281403888510;04.04.2023;Cras Dictum Institute;Sem Pellentesque LLC;74.jpg
75;Schroeder;Nolan;Benedict;19.05.1995;1838;291710;M;8623 Nisi Road;1-457-860-2981;quis@google.edu;1075;3618114445427480;18.08.2023;Sed Foundation;Parturient Company;75.jpg
76;Holden;Brett;Allen;11.12.1999;5330;718923;M;776-6834 Sodales Avenue;1-266-492-4191;nulla@aol.org;1076;8893403679927980;29.12.2024;Tempor Est Ac Ltd;Amet Orci Incorporated;76.jpg
77;Gamble;Grady;Lucius;15.11.2019;6708;105644;M;1604 Non, Avenue;1-384-546-9441;odio.phasellus.at@outlook.com;1077;6418908610790280;13.03.2024;Aenean Massa Foundation;Euismod Ac Foundation;77.jpg
78;Pickett;Abdul;Moses;26.01.1958;3444;872526;M;Ap #602-1614 Vitae St.;1-545-541-1147;sapien.nunc@yahoo.net;1078;6439747189361290;08.06.2024;In Molestie LLP;Iaculis PC;78.jpg
79;Pollard;Gil;Zoe;06.07.2009;9929;759156;M;147 Eu, Ave;1-628-183-8590;diam.sed@icloud.ca;1079;8203072030578760;23.06.2023;Interdum Inc.;Duis Limited;79.jpg
80;Moran;Nolan;Quin;15.04.2024;4964;224143;M;Ap #453-2865 Et Road;1-456-187-8352;dis.parturient.montes@protonmail.com;1080;9495880847502110;04.02.2024;Pulvinar Associates;Lorem Institute;80.jpg
81;Davis;Warren;Jemima;14.05.1992;5729;638604;M;P.O. Box 557, 5596 Vel, Ave;1-861-461-4098;id.ante@google.ca;1081;8114887497680670;10.08.2023;Leo Morbi Neque Inc.;Suspendisse Eleifend Cras Foundation;81.jpg
82;Olson;Luke;Lani;14.03.2015;8180;575325;M;P.O. Box 956, 9268 Sagittis Rd.;1-648-874-4753;et.magnis.dis@hotmail.org;1082;2984812362282100;21.10.2024;Non Corp.;Ipsum Nunc PC;82.jpg
83;Burgess;Carson;Maia;21.11.1975;1153;178802;M;7479 Neque Road;1-660-572-2616;dolor@outlook.net;1083;2700117484849340;02.01.2024;Nunc Ac Mattis Corp.;Duis Elementum Institute;83.jpg
84;Ochoa;Hammett;Lewis;25.10.1984;4992;793992;M;P.O. Box 565, 4559 Vivamus Rd.;1-486-585-4442;purus.gravida@icloud.com;1084;4461721764158880;01.01.2024;Adipiscing Elit LLC;Sapien Molestie Institute;84.jpg
85;Parks;Felix;Garrett;26.04.2004;1981;903686;M;640-6458 Quam Street;1-555-445-2375;fringilla.donec@hotmail.edu;1085;6576321530924360;23.05.2023;Tellus Consulting;Nec Leo Consulting;85.jpg
86;Bass;Gage;Kiara;10.06.1991;9020;438691;M;272-1450 Morbi St.;1-265-807-6978;massa@google.net;1086;4420703890029900;01.02.2023;Risus In PC;Elit Fermentum Company;86.jpg
87;Hardy;Macon;Angelica;17.04.2024;2392;777180;M;Ap #919-9975 Morbi Street;1-459-685-5579;id.erat@google.edu;1087;1182583532687710;26.10.2024;Nam LLC;Orci Quis Corp.;87.jpg
88;Frederick;Prescott;Vaughan;07.10.1955;8101;747693;M;P.O. Box 105, 9886 Eu Street;1-224-720-6338;in@outlook.edu;1088;1188960523307950;26.09.2024;At Lacus LLC;Sed Hendrerit Company;88.jpg
89;Acevedo;Kamal;Beau;16.11.2014;8021;620196;M;3346 Posuere Rd.;1-506-676-4278;vel.est@google.net;1089;4913193470938590;23.02.2024;Suspendisse LLP;In Mi Foundation;89.jpg
90;Williamson;Clayton;Steven;11.11.1972;8336;417169;M;P.O. Box 432, 2129 Enim Street;1-415-585-8959;nullam.velit.dui@icloud.ca;1090;1649731765448060;10.01.2024;Molestie Sodales Mauris Company;Nunc Foundation;90.jpg
91;Franks;Amery;Sacha;06.09.1957;3032;550233;M;4780 Fusce Street;1-835-688-5588;senectus.et@yahoo.org;1091;2471119514311240;18.10.2024;Eros Nam Inc.;Malesuada Vel Limited;91.jpg
92;Mcknight;Hasad;Tana;31.03.1989;2829;773781;M;Ap #509-9236 Fusce Av.;1-237-510-2135;sed.diam@yahoo.ca;1092;7612936134090470;24.04.2024;Nunc Incorporated;Euismod In Corp.;92.jpg
93;Gay;Kaseem;Eric;22.04.1959;7013;655409;M;Ap #423-4891 Eleifend Avenue;1-165-726-6873;orci.consectetuer@icloud.ca;1093;2690721297094520;04.04.2024;Duis Foundation;Fringilla LLC;93.jpg
94;Sandoval;Brett;Jillian;11.03.1977;1582;869693;M;9630 A, Street;1-743-757-5258;ullamcorper.velit@outlook.org;1094;8485852435134810;24.04.2024;Diam LLC;Mauris Ut Institute;94.jpg
95;Mcmillan;Damian;Marshall;02.07.1981;8147;621097;M;8511 Commodo Rd.;1-228-516-1513;dolor.dolor@google.edu;1095;6456738997511280;19.12.2023;Sed Turpis Institute;Libero Proin Institute;95.jpg
96;Ruiz;Blaze;Marsden;12.01.1978;2700;962663;M;Ap #402-1611 Malesuada. St.;1-617-325-4631;vestibulum.accumsan@hotmail.com;1096;3034217372669980;24.04.2023;Netus Et Limited;Quis Diam PC;96.jpg
97;Barber;Lyle;Joshua;06.04.1980;3994;917724;M;Ap #985-2517 Consequat, Rd.;1-127-874-5220;neque.vitae@icloud.com;1097;9666658412719850;24.11.2023;Tristique Associates;Interdum Nunc Limited;97.jpg
98;Wiggins;Brent;Brenda;16.01.1991;8029;367110;M;Ap #547-7567 Nunc St.;1-833-701-1308;enim@hotmail.edu;1098;6823501218292840;27.11.2024;Purus Ac Inc.;Euismod Est Inc.;98.jpg
99;Lawson;Levi;Lyle;27.12.1965;4106;121936;M;834-9084 Vestibulum, St.;1-588-582-7878;consequat@outlook.com;1099;1962965686925130;05.09.2024;Malesuada Inc.;Tellus Justo LLC;99.jpg
100;Henson;Garth;Judah;29.01.1970;2942;993115;M;464 Mi Street;1-275-830-8632;cras.eget@icloud.edu;1100;6953953104352930;04.01.2025;Pede Et Inc.;Libero Et Foundation;100.jpg

2. Medcard (Медкарта)
MedcardId;IssueDate;Diagnosis;LastVisitDate;NextVisitDate;QR
1001;28.02.2023;Ожирение;28.02.2023;;QRcard1001.jpg
1002;02.10.2022;Геморрой;02.10.2022;;QRcard1002.jpg
1003;11.01.2023;Гастрит;11.01.2023;;QRcard1003.jpg
1004;30.04.2023;Гипертония;30.04.2023;;QRcard1004.jpg
1005;05.11.2022;Мигрень;05.11.2022;;QRcard1005.jpg
1006;02.12.2024;Песок в почках;02.12.2024;;QRcard1006.jpg
1007;14.07.2024;Плоскостопие;14.07.2024;;QRcard1007.jpg
1008;03.03.2023;Боль в спине;03.03.2023;;QRcard1008.jpg
1009;22.07.2023;Здоров;22.07.2023;;QRcard1009.jpg
1010;20.12.2024;Здоров;20.12.2024;;QRcard1010.jpg
1011;25.12.2023;Ожирение;25.12.2023;;QRcard1011.jpg
1012;05.05.2023;Геморрой;05.05.2023;;QRcard1012.jpg
1013;14.07.2023;Гастрит;14.07.2023;;QRcard1013.jpg
1014;31.10.2024;Гипертония;31.10.2024;;QRcard1014.jpg
1015;30.06.2024;Мигрень;30.06.2024;;QRcard1015.jpg
1016;15.10.2023;Песок в почках;15.10.2023;;QRcard1016.jpg
1017;09.08.2024;Плоскостопие;09.08.2024;;QRcard1017.jpg
1018;18.01.2024;Боль в спине;18.01.2024;;QRcard1018.jpg
1019;14.09.2023;Ожирение;14.09.2023;;QRcard1019.jpg
1020;22.04.2024;Геморрой;22.04.2024;;QRcard1020.jpg
1021;20.06.2023;Гастрит;20.06.2023;;QRcard1021.jpg
1022;02.10.2024;Гипертония;02.10.2024;;QRcard1022.jpg
1023;13.05.2024;Мигрень;13.05.2024;;QRcard1023.jpg
1024;21.11.2023;Песок в почках;21.11.2023;;QRcard1024.jpg
1025;08.11.2022;Плоскостопие;08.11.2022;;QRcard1025.jpg
1026;08.04.2024;Боль в спине;08.04.2024;;QRcard1026.jpg
1027;25.07.2023;Ожирение;25.07.2023;;QRcard1027.jpg
1028;19.11.2022;Геморрой;19.11.2022;;QRcard1028.jpg
1029;25.10.2023;Гастрит;25.10.2023;;QRcard1029.jpg
1030;25.04.2024;Гипертония;25.04.2024;;QRcard1030.jpg
1031;20.09.2022;Мигрень;20.09.2022;;QRcard1031.jpg
1032;28.09.2022;Песок в почках;28.09.2022;;QRcard1032.jpg
1033;15.11.2023;Плоскостопие;15.11.2023;;QRcard1033.jpg
1034;11.12.2024;Боль в спине;11.12.2024;;QRcard1034.jpg
1035;26.04.2024;Ожирение;26.04.2024;;QRcard1035.jpg
1036;04.11.2022;Геморрой;04.11.2022;;QRcard1036.jpg
1037;23.02.2024;Гастрит;23.02.2024;;QRcard1037.jpg
1038;10.09.2022;Гипертония;10.09.2022;;QRcard1038.jpg
1039;30.11.2023;Мигрень;30.11.2023;;QRcard1039.jpg
1040;23.07.2024;Песок в почках;23.07.2024;;QRcard1040.jpg
1041;10.03.2024;Плоскостопие;10.03.2024;;QRcard1041.jpg
1042;26.12.2024;Боль в спине;26.12.2024;;QRcard1042.jpg
1043;24.05.2023;Ожирение;24.05.2023;;QRcard1043.jpg
1044;25.06.2024;Геморрой;25.06.2024;;QRcard1044.jpg
1045;22.10.2024;Гастрит;22.10.2024;;QRcard1045.jpg
1046;16.06.2023;Гипертония;16.06.2023;;QRcard1046.jpg
1047;17.12.2022;Мигрень;17.12.2022;;QRcard1047.jpg
1048;01.11.2022;Песок в почках;01.11.2022;;QRcard1048.jpg
1049;22.06.2024;Плоскостопие;22.06.2024;;QRcard1049.jpg
1050;10.09.2023;Боль в спине;10.09.2023;;QRcard1050.jpg
1051;27.12.2024;Ожирение;27.12.2024;;QRcard1051.jpg
1052;29.07.2024;Геморрой;29.07.2024;;QRcard1052.jpg
1053;23.09.2023;Гастрит;23.09.2023;;QRcard1053.jpg
1054;07.04.2023;Гипертония;07.04.2023;;QRcard1054.jpg
1055;26.11.2022;Мигрень;26.11.2022;;QRcard1055.jpg
1056;13.01.2025;Песок в почках;13.01.2025;;QRcard1056.jpg
1057;05.09.2022;Плоскостопие;05.09.2022;;QRcard1057.jpg
1058;07.05.2024;Боль в спине;07.05.2024;;QRcard1058.jpg
1059;02.08.2023;Ожирение;02.08.2023;;QRcard1059.jpg
1060;17.09.2024;Геморрой;17.09.2024;;QRcard1060.jpg
1061;28.08.2023;Гастрит;28.08.2023;;QRcard1061.jpg
